"name","portion","calories","carbs","fat","protein","glukosa","sodium","fibers"
"apel","182","80","21.27","0.26","0.4","16","2","3.3"
"ayam_goreng","100","260","10.76","14.55","21.93","0.26","350","1.4"
"ayam_pop","100","195","13","7.72","29.55","0","393","0.9"
"bakso_kuah","170","333","0.46","21.61","31.75","0.35","1510","0"
"cumi_tepung","85","106","8.42","1.84","12.86","0.56","284","0.4"
"daging_rendang","240","468","10.78","26.57","47.23","3.14","442","4.2"
"gado_gado","241","318","26.28","17.86","17.22","4.43","305","6.9"
"gulai_ikan","240","241","241","11.02","29.76","1.52","405","1.1"
"ikan_goreng","150","253","3.32","10.38","36.82","0.29","291","0.2"
"kacang_rebus","100","318","21.26","22.01","13.5","2.47","751","8.8"
"kentang_goreng","70","192","24.96","9.84","2.44","0.41","210","2.3"
"lemon","7","2","0.65","0.02","0.08","0.18","0","0.2"
"mangga","140","135","35.19","0.56","1.06","30.64","3.2","3"
"mie_goreng","90","400","61","13","10","7","1000","7"
"mie_kuah","69","300","43","11","7","3","1330","2"
"nanas","100","48","12.63","0.12","0.54","9.26","1","1.4"
"nasi_goreng","149","250","31.28","9.28","9.29","1.13","618","1"
"opor_ayam","240","392","13.43","20.81","39.67","4.24","525","3.5"
"pear","450","96","25.66","0.2","0.63","16.27","2","4.3"
"pempek","200","335","22.51","14.97","25.83","4.4","441","0.8"
"pisang","31","105","26.95","0.39","1.29","14.43","1","3.1"
"sate_bakar","45","101","2.19","6.67","8.79","0.89","160","0.9"
"sayur_asam","240","80","12.9","2.76","3.18","4.75","308","2.5"
"sayur_bayam","120","43","9.17","0.44","2.14","3.38","195","1.7"
"semangka","28","19","1.13","0.02","0.09","0.93","0","0.1"
"somay","75","103","12.23","6","19","0.19","264","0.6"
"tahu_goreng","2","35","1.36","0.49","2.23","0.35","2","0.5"
"telur_balado","35","71","1.22","5.75","3.57","0.77","125","0.3"
"telur_dadar","75","93","0.42","7.33","6.48","0.4","98","0"
"tempe_goreng","4","34","1.79","2.28","2","0.03","42","0"
