apel;182gr;80;21.27gr;0.26gr;0.4gr;16gr;2mg
ayam_goreng;100g;260;10.76gr;14.55gr;21.93gr;0.26gr;350mg
ayam_pop;100gr;195;13g;7.72gr;29.55gr;0gr;393mg
bakso_kuah;120gr;190;12gr;9gr;14gr;0gr;600mg
cumi_tepung;85gr;106;8.42gr;1.84gr;12.86gr;0.56gr;284mg
daging_rendang;100gr;195;4.49gr;11.07gr;19.68gr;1.31gr;184mg
gado_gado;100gr;400;34gr;0gr;56gr;0gr;0gr
gulai_ikan;240gr;241;241gr;11.02gr;29.76gr;1.52gr;405mg
ikan_goreng;150gr;253;3.32gr;10.38gr;36.82gr;0.29gr;291mg
kacang_rebus;100gr;318;21.26gr;22.01gr;13.5gr;2.47gr;751mg
kentang_goreng;70gr;192;24.96gr;9.84gr;2.44gr;0.41gr;210mg
lemon;7gr;2;0.65gr;0.02gr;0.08gr;0.18gr;0mg
mangga;140gr;135;35.19gr;0.56gr;1.06gr;30.64gr;4mg
mie_goreng;80gr;380;52gr;12gr;8gr;6gr;680mg
mie_kuah;69gr;300;43gr;11gr;7gr;3gr;1330mg
nanas;100gr;48;12.63gr;0.12gr;0.54gr;9.26gr;1mg
nasi_goreng;149gr;247;31.47gr;9gr;9.37gr;1.04gr;450mg
opor_ayam;240gr;392;13.43gr;20.81gr;39.67gr;4.24gr;525mg
pear;450gr;96;25.66gr;0.2gr;0.63gr;16.27gr;2mg
pempek;200gr;335;22.51gr;14.97gr;25.83gr;4.4gr;441mg
pisang;31gr;105;26.95gr;0.39gr;1.29gr;14.43gr;1mg
sate_bakar;45gr;101;2.19gr;6.67gr;8.79gr;0.89gr;160mg
sayur_asam;240gr;80;12.9gr;2.76gr;3.18gr;4.75gr;308mg
sayur_bayam;120gr;43;9.17gr;0.44gr;2.14gr;3.38gr;195mg
semangka;28gr;19;1.13gr;0.02gr;0.09gr;0.93gr;0mg
somay;75gr;103;12.23gr;6gr;19gr;0.19gr;264mg
tahu_goreng;2gr;35;1.36gr;0.49gr;2.23gr;0.35gr;2mg
telur_balado;35gr;71;1.22gr;5.75gr;3.57gr;0.77gr;125mg
telur_dadar;75gr;93;0.42gr;7.33gr;6.48gr;0.4gr;98mg
tempe_goreng;4gr;34;1.79gr;2.28gr;2gr;0.03gr;42mg
